genome	gyrB	dnaG	frr	infC	nusA	pgk	pyrG	rplA	rplB	rplC	rplD	rplE	rplF	rplK	rplL	rplM	rplN	rplP	rplS	rplT	rpmA	rpoB	rpsB	rpsC	rpsE	rpsI	rpsJ	rpsK	rpsM	rpsS	smpB	tsf
GUT_GENOME139307	GUT_GENOME252930_00084,GUT_GENOME139307_00445	GUT_GENOME139307_01829,GUT_GENOME139307_00836	GUT_GENOME252930_01291	GUT_GENOME252930_00766	GUT_GENOME139307_02231	GUT_GENOME139307_01313,GUT_GENOME252930_00739	GUT_GENOME139307_00856	GUT_GENOME252930_00115	GUT_GENOME190117_00536	GUT_GENOME252930_00395	GUT_GENOME252930_00396	GUT_GENOME252930_00407	GUT_GENOME139307_02184	GUT_GENOME252930_00114	GUT_GENOME190117_01007	GUT_GENOME033290_01239	GUT_GENOME190117_00543	GUT_GENOME252930_00402	GUT_GENOME252930_01233	GUT_GENOME139307_01119	GUT_GENOME139307_02247	GUT_GENOME252930_01514	GUT_GENOME033290_01001	GUT_GENOME190117_00539	GUT_GENOME252930_00411	GUT_GENOME033290_01238	GUT_GENOME139307_02199	GUT_GENOME033290_01487	GUT_GENOME190117_00558	GUT_GENOME190117_00537	GUT_GENOME252930_01394	GUT_GENOME252930_02335
GUT_GENOME163684	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME205635	GUT_GENOME163846_01065,GUT_GENOME263846_01148	GUT_GENOME081368_00929	GUT_GENOME126312_00971	GUT_GENOME218496_00635	GUT_GENOME004691_01341	GUT_GENOME039656_00306	GUT_GENOME099453_01228	GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271	GUT_GENOME175115_00179	GUT_GENOME006201_01494	GUT_GENOME205824_01610	GUT_GENOME202152_01463	GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999	GUT_GENOME060258_00278	GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME010079	GUT_GENOME234508_00379,GUT_GENOME234508_01906	GUT_GENOME010079_01721,GUT_GENOME010079_00945,GUT_GENOME010079_01460	GUT_GENOME234508_01096	GUT_GENOME010079_01173	GUT_GENOME010079_01870	GUT_GENOME234508_00422	GUT_GENOME010079_00313	GUT_GENOME009542_01494	GUT_GENOME234508_01419	GUT_GENOME234508_01422	GUT_GENOME010079_01554	GUT_GENOME234508_01410	GUT_GENOME234508_01407	GUT_GENOME013055_01247	GUT_GENOME234508_01427	GUT_GENOME009542_00787	GUT_GENOME234508_01412	GUT_GENOME234508_01415	GUT_GENOME009542_00027	GUT_GENOME234508_02118	GUT_GENOME010079_00526	GUT_GENOME234508_01051	GUT_GENOME009542_01345		GUT_GENOME234508_01405	GUT_GENOME234508_00339	GUT_GENOME234508_01423	GUT_GENOME010079_01578	GUT_GENOME013055_00954	GUT_GENOME234508_01418	GUT_GENOME010079_01012	GUT_GENOME010079_00095
GUT_GENOME245868	GUT_GENOME163846_01065,GUT_GENOME273734_00040	GUT_GENOME081368_00929	GUT_GENOME126312_00971		GUT_GENOME004691_01341	GUT_GENOME039656_00306		GUT_GENOME114974_00444	GUT_GENOME161213_00683	GUT_GENOME215548_01274	GUT_GENOME151535_01238	GUT_GENOME125744_00808	GUT_GENOME246554_00031	GUT_GENOME120636_00617	GUT_GENOME097660_00115	GUT_GENOME004335_00271		GUT_GENOME006201_01494	GUT_GENOME205824_01610		GUT_GENOME266946_00851	GUT_GENOME049730_00958	GUT_GENOME196106_01341	GUT_GENOME006201_00999		GUT_GENOME003134_00461	GUT_GENOME187900_01073	GUT_GENOME032757_01189	GUT_GENOME088921_01311	GUT_GENOME180310_00679	GUT_GENOME252836_01575	GUT_GENOME019818_00184
GUT_GENOME154740	GUT_GENOME154740_02061,GUT_GENOME156244_01840	GUT_GENOME095967_00287,GUT_GENOME147678_01490	GUT_GENOME154740_01969	GUT_GENOME220495_01341	GUT_GENOME018115_01549	GUT_GENOME139132_00500	GUT_GENOME154740_00159	GUT_GENOME225807_00914	GUT_GENOME155439_02383	GUT_GENOME095967_02215	GUT_GENOME147678_01139	GUT_GENOME001115_02121	GUT_GENOME147678_01125	GUT_GENOME000152_01036	GUT_GENOME139147_00796	GUT_GENOME042029_01030	GUT_GENOME209802_00769	GUT_GENOME147678_01133	GUT_GENOME239280_02403	GUT_GENOME268227_02160	GUT_GENOME139147_00040	GUT_GENOME155439_00488	GUT_GENOME155439_00448	GUT_GENOME154740_01888	GUT_GENOME095967_02197	GUT_GENOME170652_01503	GUT_GENOME140074_00450			GUT_GENOME000152_01689	GUT_GENOME156244_00430	GUT_GENOME123416_00320
GUT_GENOME000941	GUT_GENOME000941_00142	GUT_GENOME000941_01054	GUT_GENOME186054_00968	GUT_GENOME000941_00885		GUT_GENOME186054_00856		GUT_GENOME000941_00016	GUT_GENOME284185_00164		GUT_GENOME000941_00300	GUT_GENOME284185_00155	GUT_GENOME000941_00314	GUT_GENOME186054_00338	GUT_GENOME000941_00004	GUT_GENOME000941_01482	GUT_GENOME284185_00157	GUT_GENOME284185_00160	GUT_GENOME284185_01275	GUT_GENOME284185_00356	GUT_GENOME000941_00855	GUT_GENOME000941_00002			GUT_GENOME284185_00150	GUT_GENOME000941_01483	GUT_GENOME284185_00168	GUT_GENOME284185_00144	GUT_GENOME000941_00322	GUT_GENOME284185_00163	GUT_GENOME186054_00428	GUT_GENOME284185_01286
GUT_GENOME096368	GUT_GENOME096368_02769,GUT_GENOME096368_02156	GUT_GENOME001135_05875,GUT_GENOME096368_01837,GUT_GENOME096368_01687,GUT_GENOME096368_01035,GUT_GENOME011051_00527,GUT_GENOME096368_01086,GUT_GENOME096368_03172	GUT_GENOME096368_00897	GUT_GENOME096368_02852	GUT_GENOME096368_02660	GUT_GENOME096368_02650	GUT_GENOME096368_02519	GUT_GENOME096368_02036	GUT_GENOME096368_02698	GUT_GENOME096368_02701	GUT_GENOME096368_02700	GUT_GENOME096368_02689	GUT_GENOME096368_02682	GUT_GENOME096368_02037	GUT_GENOME249050_00800	GUT_GENOME096368_01130	GUT_GENOME159348_01420	GUT_GENOME096368_02694	GUT_GENOME096368_00706	GUT_GENOME096368_02854	GUT_GENOME157017_00723	GUT_GENOME096368_01413	GUT_GENOME096368_01438	GUT_GENOME096368_02695	GUT_GENOME096368_02680	GUT_GENOME096368_01129	GUT_GENOME249050_00469	GUT_GENOME096368_02670	GUT_GENOME096368_02671	GUT_GENOME096368_02697	GUT_GENOME096368_03129	GUT_GENOME096368_01437
GUT_GENOME236232	GUT_GENOME236232_00088,GUT_GENOME236232_01558	GUT_GENOME236232_01901	GUT_GENOME236232_00787	GUT_GENOME236232_01451	GUT_GENOME236232_00254	GUT_GENOME236232_01699	GUT_GENOME236232_01035	GUT_GENOME236232_00256	GUT_GENOME236232_02038	GUT_GENOME236232_02041	GUT_GENOME236232_02040	GUT_GENOME236232_02029	GUT_GENOME236232_02026	GUT_GENOME236232_00257	GUT_GENOME121269_00612	GUT_GENOME236232_01212	GUT_GENOME121269_00710	GUT_GENOME236232_02034	GUT_GENOME236232_01716	GUT_GENOME236232_01449	GUT_GENOME236232_01821	GUT_GENOME236232_00976	GUT_GENOME236232_00270	GUT_GENOME236232_02035	GUT_GENOME236232_02024	GUT_GENOME236232_01211	GUT_GENOME236232_02042	GUT_GENOME236232_02014	GUT_GENOME236232_02015	GUT_GENOME236232_02037	GUT_GENOME236232_00700	GUT_GENOME236232_00269
GUT_GENOME208565	GUT_GENOME208565_00512,GUT_GENOME208565_00719	GUT_GENOME208565_00769	GUT_GENOME208565_00480	GUT_GENOME208565_00987	GUT_GENOME208565_01311		GUT_GENOME208565_00671	GUT_GENOME098798_02100,GUT_GENOME208565_01569	GUT_GENOME208565_00235	GUT_GENOME272660_01612	GUT_GENOME272660_01611	GUT_GENOME208565_00244	GUT_GENOME208565_00247	GUT_GENOME208565_01391,GUT_GENOME208565_01570		GUT_GENOME208565_00698	GUT_GENOME208565_00242	GUT_GENOME113687_01499	GUT_GENOME208565_01025	GUT_GENOME208565_00171	GUT_GENOME208565_01031	GUT_GENOME208565_00381	GUT_GENOME208565_00514	GUT_GENOME113687_01498	GUT_GENOME208565_00249	GUT_GENOME208565_00697	GUT_GENOME113687_01491	GUT_GENOME113687_01238	GUT_GENOME272660_01589	GUT_GENOME208565_00236	GUT_GENOME208565_01325	GUT_GENOME208565_00515
GUT_GENOME026008	GUT_GENOME026008_01658,GUT_GENOME026008_00978	GUT_GENOME026008_00721	GUT_GENOME026008_01451	GUT_GENOME115165_01250	GUT_GENOME026008_00856	GUT_GENOME026008_00025	GUT_GENOME026008_00072	GUT_GENOME026008_01034	GUT_GENOME026008_00144	GUT_GENOME271436_01431	GUT_GENOME159064_01026	GUT_GENOME026008_00135	GUT_GENOME271436_01416	GUT_GENOME277097_00751	GUT_GENOME159064_01526	GUT_GENOME026008_01040	GUT_GENOME267242_01108	GUT_GENOME088940_02135	GUT_GENOME271436_01730	GUT_GENOME159064_01132	GUT_GENOME088940_01252	GUT_GENOME026008_01096	GUT_GENOME007936_00550		GUT_GENOME026008_00130	GUT_GENOME026008_01041	GUT_GENOME115165_00070	GUT_GENOME115165_00097	GUT_GENOME271436_01678	GUT_GENOME271436_01427	GUT_GENOME115165_01013	GUT_GENOME115165_01454
GUT_GENOME251968	GUT_GENOME251968_01280	GUT_GENOME251968_00491	GUT_GENOME251968_00127	GUT_GENOME251968_00570	GUT_GENOME251968_00740	GUT_GENOME251968_00152	GUT_GENOME251968_00323	GUT_GENOME251968_00303	GUT_GENOME251968_00252	GUT_GENOME251968_00255	GUT_GENOME251968_00254	GUT_GENOME251968_00243	GUT_GENOME251968_00240	GUT_GENOME251968_00304	GUT_GENOME251968_01609	GUT_GENOME251968_01098	GUT_GENOME251968_00245	GUT_GENOME251968_00248	GUT_GENOME251968_01627	GUT_GENOME251968_00568	GUT_GENOME251968_00079	GUT_GENOME251968_01371	GUT_GENOME251968_00130	GUT_GENOME251968_00249	GUT_GENOME251968_00238	GUT_GENOME251968_01097	GUT_GENOME251968_00256	GUT_GENOME251968_00228	GUT_GENOME251968_00229	GUT_GENOME251968_00251	GUT_GENOME251968_01342	GUT_GENOME251968_00129
GUT_GENOME267242	GUT_GENOME267242_00512,GUT_GENOME100651_01428	GUT_GENOME100651_01205	GUT_GENOME267242_00461	GUT_GENOME088940_00274	GUT_GENOME267242_00951	GUT_GENOME100651_00078	GUT_GENOME267242_00182	GUT_GENOME026008_01034		GUT_GENOME277097_00043	GUT_GENOME159064_01026	GUT_GENOME259524_00356	GUT_GENOME267242_01113	GUT_GENOME277097_00751	GUT_GENOME159064_01526	GUT_GENOME088940_00512	GUT_GENOME267242_01108	GUT_GENOME088940_02135	GUT_GENOME271436_01730	GUT_GENOME159064_01132	GUT_GENOME088940_01252	GUT_GENOME088940_01474	GUT_GENOME267242_01305		GUT_GENOME267242_01115	GUT_GENOME026008_01041	GUT_GENOME115165_00070	GUT_GENOME115165_00097	GUT_GENOME271436_01678		GUT_GENOME267242_01670	GUT_GENOME277097_01500
GUT_GENOME187777	GUT_GENOME019335_00427,GUT_GENOME140299_01858	GUT_GENOME187777_00579,GUT_GENOME027309_00523,GUT_GENOME187777_02322,GUT_GENOME187777_00225,GUT_GENOME187777_00593	GUT_GENOME126659_00811		GUT_GENOME187777_02228		GUT_GENOME239747_00464												GUT_GENOME126659_02641		GUT_GENOME126659_00170		GUT_GENOME275692_00095								GUT_GENOME275692_01422	GUT_GENOME140299_01729
GUT_GENOME283937	GUT_GENOME283937_01771,GUT_GENOME283937_01050	GUT_GENOME283937_01419	GUT_GENOME283937_01314	GUT_GENOME283937_00234	GUT_GENOME283937_01724		GUT_GENOME283937_01932	GUT_GENOME283937_01786	GUT_GENOME100613_01538	GUT_GENOME283937_00895	GUT_GENOME283937_00894	GUT_GENOME283937_00883	GUT_GENOME283937_00880	GUT_GENOME283937_01787	GUT_GENOME100613_01888	GUT_GENOME283937_02331	GUT_GENOME283937_00885	GUT_GENOME283937_00888	GUT_GENOME283937_01352	GUT_GENOME283937_00236	GUT_GENOME283937_00656	GUT_GENOME100613_00007	GUT_GENOME283937_01539	GUT_GENOME100613_01535	GUT_GENOME283937_00878	GUT_GENOME100613_01068	GUT_GENOME283937_00896	GUT_GENOME283937_00868	GUT_GENOME283937_00869	GUT_GENOME100613_01537	GUT_GENOME283937_02123	GUT_GENOME283937_01538
GUT_GENOME284185	GUT_GENOME000941_00142	GUT_GENOME000941_01054	GUT_GENOME186054_00968	GUT_GENOME000941_00885		GUT_GENOME186054_00856		GUT_GENOME000941_00016	GUT_GENOME284185_00164		GUT_GENOME000941_00300	GUT_GENOME284185_00155	GUT_GENOME000941_00314	GUT_GENOME186054_00338	GUT_GENOME000941_00004	GUT_GENOME000941_01482	GUT_GENOME284185_00157	GUT_GENOME284185_00160	GUT_GENOME284185_01275	GUT_GENOME284185_00356	GUT_GENOME000941_00855	GUT_GENOME000941_00002			GUT_GENOME284185_00150	GUT_GENOME000941_01483	GUT_GENOME284185_00168	GUT_GENOME284185_00144	GUT_GENOME000941_00322	GUT_GENOME284185_00163	GUT_GENOME186054_00428	GUT_GENOME284185_01286
GUT_GENOME255273	GUT_GENOME255273_01901,GUT_GENOME255273_00483	GUT_GENOME255273_00580	GUT_GENOME255273_00088	GUT_GENOME255273_00290	GUT_GENOME255273_00738	GUT_GENOME255273_01637	GUT_GENOME255273_01441	GUT_GENOME026750_01824	GUT_GENOME091228_00225	GUT_GENOME255273_00404	GUT_GENOME252582_01638	GUT_GENOME257123_01013	GUT_GENOME255273_00419	GUT_GENOME257123_01742	GUT_GENOME255273_01512	GUT_GENOME255273_00544	GUT_GENOME257123_01015	GUT_GENOME252582_01632	GUT_GENOME255273_01961	GUT_GENOME067425_00246	GUT_GENOME067425_00210	GUT_GENOME091228_01590	GUT_GENOME255273_01757		GUT_GENOME255273_00421	GUT_GENOME255273_00545	GUT_GENOME255273_00403	GUT_GENOME255258_00836	GUT_GENOME251098_00899	GUT_GENOME271436_01427	GUT_GENOME255273_01970	GUT_GENOME257123_01170
GUT_GENOME026750	GUT_GENOME026750_01852,GUT_GENOME026750_01503	GUT_GENOME127495_01414,GUT_GENOME026750_00871	GUT_GENOME026750_01871		GUT_GENOME026750_00310	GUT_GENOME026750_00483	GUT_GENOME026750_00609	GUT_GENOME026750_01824	GUT_GENOME026750_01484	GUT_GENOME026750_01481	GUT_GENOME026750_01482	GUT_GENOME257123_01013	GUT_GENOME026750_01612	GUT_GENOME257123_01742	GUT_GENOME026750_01927	GUT_GENOME244777_00915	GUT_GENOME257123_01015	GUT_GENOME252582_01632	GUT_GENOME026750_00325		GUT_GENOME067425_00210	GUT_GENOME026750_00951	GUT_GENOME255273_01757		GUT_GENOME252582_01622	GUT_GENOME026750_01428	GUT_GENOME255273_00403	GUT_GENOME026750_01601	GUT_GENOME026750_01602	GUT_GENOME091228_00224	GUT_GENOME026750_00584	GUT_GENOME026750_01169
GUT_GENOME236229	GUT_GENOME236229_00537,GUT_GENOME236229_00504	GUT_GENOME236229_00444,GUT_GENOME236229_00235,GUT_GENOME236229_01968	GUT_GENOME236229_00405	GUT_GENOME236229_02032	GUT_GENOME236229_00571	GUT_GENOME236229_01706	GUT_GENOME236229_00170	GUT_GENOME236229_00379	GUT_GENOME236229_00784	GUT_GENOME236229_00781	GUT_GENOME236229_00782	GUT_GENOME236229_00793	GUT_GENOME236229_00796	GUT_GENOME236229_00380	GUT_GENOME115597_00198	GUT_GENOME236229_01548	GUT_GENOME236229_00791	GUT_GENOME236229_00788	GUT_GENOME236229_02488	GUT_GENOME236229_02034		GUT_GENOME236229_00376	GUT_GENOME236229_01546	GUT_GENOME236229_00787	GUT_GENOME236229_00798	GUT_GENOME236229_01547	GUT_GENOME236229_00780	GUT_GENOME236229_00806	GUT_GENOME236866_00426	GUT_GENOME236229_00785	GUT_GENOME236229_01078	GUT_GENOME236229_01545
GUT_GENOME155439	GUT_GENOME154740_02061,GUT_GENOME156244_01840	GUT_GENOME095967_00287,GUT_GENOME095992_00459,GUT_GENOME147678_01490	GUT_GENOME154740_01969	GUT_GENOME220495_01341	GUT_GENOME018115_01549	GUT_GENOME139132_00500	GUT_GENOME154740_00159	GUT_GENOME225807_00914	GUT_GENOME155439_02383	GUT_GENOME095967_02215	GUT_GENOME147678_01139	GUT_GENOME001115_02121	GUT_GENOME147678_01125	GUT_GENOME000152_01036	GUT_GENOME139147_00796	GUT_GENOME042029_01030	GUT_GENOME209802_00769	GUT_GENOME147678_01133	GUT_GENOME239280_02403	GUT_GENOME268227_02160	GUT_GENOME139147_00040	GUT_GENOME155439_00488	GUT_GENOME155439_00448	GUT_GENOME154740_01888	GUT_GENOME095967_02197	GUT_GENOME170652_01503	GUT_GENOME140074_00450	GUT_GENOME140078_00817	GUT_GENOME000092_02015	GUT_GENOME000152_01689	GUT_GENOME156244_00430	GUT_GENOME123416_00320
GUT_GENOME119191	GUT_GENOME158752_00254,GUT_GENOME119191_00009	GUT_GENOME119191_02308,GUT_GENOME000269_01817	GUT_GENOME119191_02097	GUT_GENOME158752_01999	GUT_GENOME158752_01776	GUT_GENOME116934_01059	GUT_GENOME158752_00919	GUT_GENOME237520_00447	GUT_GENOME119191_00748	GUT_GENOME139388_01223	GUT_GENOME119191_00746	GUT_GENOME119191_00757	GUT_GENOME119191_00760	GUT_GENOME237520_00448	GUT_GENOME158523_02328	GUT_GENOME158752_01690	GUT_GENOME176098_01840	GUT_GENOME119191_00752	GUT_GENOME158752_01520	GUT_GENOME237520_00182	GUT_GENOME119191_00479	GUT_GENOME105698_00512	GUT_GENOME158068_00124		GUT_GENOME105698_00017	GUT_GENOME119191_02271	GUT_GENOME159708_02382	GUT_GENOME119191_00771	GUT_GENOME098569_02262	GUT_GENOME141047_00493	GUT_GENOME119191_01824	GUT_GENOME119191_00231
GUT_GENOME001016	GUT_GENOME082932_00176,GUT_GENOME001016_03156	GUT_GENOME001471_01877,GUT_GENOME001854_02567,GUT_GENOME001016_00026,GUT_GENOME096179_02045,GUT_GENOME001016_00705	GUT_GENOME001016_01715	GUT_GENOME001016_02937	GUT_GENOME129615_00102	GUT_GENOME129615_00132	GUT_GENOME001016_01217	GUT_GENOME140268_00296	GUT_GENOME140268_00360	GUT_GENOME001016_02317	GUT_GENOME082932_01171	GUT_GENOME082932_00682	GUT_GENOME000266_02577	GUT_GENOME000266_00662	GUT_GENOME130417_00740	GUT_GENOME082932_01097	GUT_GENOME140268_00353	GUT_GENOME082932_00687	GUT_GENOME082932_01655	GUT_GENOME001016_02939	GUT_GENOME082932_01226	GUT_GENOME001016_03144	GUT_GENOME082932_01630	GUT_GENOME001016_02311	GUT_GENOME130417_00602	GUT_GENOME001016_02642	GUT_GENOME140268_00364	GUT_GENOME140268_00336	GUT_GENOME000266_02566	GUT_GENOME082932_00690	GUT_GENOME001016_01328	GUT_GENOME140268_02027
GUT_GENOME209802	GUT_GENOME140074_02477,GUT_GENOME154740_02061	GUT_GENOME209802_01343,GUT_GENOME147678_01490	GUT_GENOME209802_01567	GUT_GENOME123416_00767	GUT_GENOME018115_01549		GUT_GENOME209802_01366	GUT_GENOME239280_00214	GUT_GENOME155439_02383	GUT_GENOME095967_02215	GUT_GENOME147678_01139	GUT_GENOME001115_02121	GUT_GENOME147678_01125	GUT_GENOME000152_01036	GUT_GENOME139147_00796	GUT_GENOME042029_01030	GUT_GENOME209802_00769	GUT_GENOME147678_01133	GUT_GENOME239280_02403	GUT_GENOME268227_02160	GUT_GENOME139147_00040	GUT_GENOME247791_01647	GUT_GENOME155439_00448	GUT_GENOME154740_01888	GUT_GENOME095967_02197	GUT_GENOME170652_01503	GUT_GENOME140074_00450	GUT_GENOME140078_00817	GUT_GENOME000092_02015	GUT_GENOME000152_01689	GUT_GENOME156244_00430	GUT_GENOME123416_00320
GUT_GENOME001115	GUT_GENOME239280_02331,GUT_GENOME140078_02679	GUT_GENOME001115_00446,GUT_GENOME001471_01877,GUT_GENOME001115_02428,GUT_GENOME001115_02944,GUT_GENOME001115_01648,GUT_GENOME001115_01537,GUT_GENOME147678_01490	GUT_GENOME268486_01048	GUT_GENOME123416_00767	GUT_GENOME239280_02390	GUT_GENOME139132_00500	GUT_GENOME247791_00846	GUT_GENOME239280_00214	GUT_GENOME155439_02383	GUT_GENOME095967_02215	GUT_GENOME147678_01139	GUT_GENOME001115_02121	GUT_GENOME147678_01125	GUT_GENOME000152_01036	GUT_GENOME139147_00796	GUT_GENOME042029_01030	GUT_GENOME209802_00769	GUT_GENOME147678_01133	GUT_GENOME239280_02403	GUT_GENOME268227_02160	GUT_GENOME139147_00040	GUT_GENOME247791_01647	GUT_GENOME155439_00448	GUT_GENOME154740_01888	GUT_GENOME095967_02197	GUT_GENOME170652_01503	GUT_GENOME140074_00450	GUT_GENOME140078_00817	GUT_GENOME000092_02015	GUT_GENOME000152_01689	GUT_GENOME239280_01986	GUT_GENOME123416_00320
GUT_GENOME268227	GUT_GENOME140074_02477,GUT_GENOME154740_02061	GUT_GENOME268227_01852	GUT_GENOME268486_01048		GUT_GENOME268227_00383		GUT_GENOME247791_00846								GUT_GENOME139147_00796	GUT_GENOME042029_01030			GUT_GENOME239280_02403	GUT_GENOME268227_02160											GUT_GENOME247791_01113	
GUT_GENOME149574	GUT_GENOME149574_01975,GUT_GENOME276126_01560	GUT_GENOME149574_01156,GUT_GENOME096240_02860	GUT_GENOME212654_00045	GUT_GENOME110557_01787	GUT_GENOME149574_01341	GUT_GENOME149574_01846	GUT_GENOME149574_00781	GUT_GENOME149574_01548	GUT_GENOME276126_01578	GUT_GENOME108333_00192	GUT_GENOME110557_01912	GUT_GENOME108492_00533	GUT_GENOME110557_00480	GUT_GENOME283113_01111	GUT_GENOME276126_01188	GUT_GENOME276126_00796	GUT_GENOME276126_00766	GUT_GENOME110557_00472	GUT_GENOME108492_01327	GUT_GENOME283113_01324	GUT_GENOME108492_01163	GUT_GENOME108333_00492	GUT_GENOME149574_00550	GUT_GENOME134988_01891	GUT_GENOME134988_01598	GUT_GENOME283113_01485	GUT_GENOME276126_00553	GUT_GENOME283113_00010	GUT_GENOME108333_00300	GUT_GENOME283113_00115	GUT_GENOME149574_00099	GUT_GENOME134988_00649
GUT_GENOME155275	GUT_GENOME155275_00686,GUT_GENOME155275_01776	GUT_GENOME155275_00144,GUT_GENOME155275_01164	GUT_GENOME155275_00199	GUT_GENOME155275_01276	GUT_GENOME155275_00395	GUT_GENOME155275_00713	GUT_GENOME155275_00031	GUT_GENOME036899_01428	GUT_GENOME105698_00003	GUT_GENOME036899_00670	GUT_GENOME155275_01088	GUT_GENOME285134_02543	GUT_GENOME124777_00248	GUT_GENOME011515_00432	GUT_GENOME159708_00314	GUT_GENOME155275_01880	GUT_GENOME176098_01840	GUT_GENOME124777_00240	GUT_GENOME011515_01055	GUT_GENOME155275_01278	GUT_GENOME124777_00935	GUT_GENOME124777_01072	GUT_GENOME036899_01111		GUT_GENOME036899_00687	GUT_GENOME155275_01879	GUT_GENOME124777_00232	GUT_GENOME036899_00697	GUT_GENOME155275_01063	GUT_GENOME124777_00237	GUT_GENOME155275_01806	GUT_GENOME155275_00884
GUT_GENOME156244	GUT_GENOME154740_02061,GUT_GENOME156244_01840	GUT_GENOME095967_00287,GUT_GENOME147678_01490,GUT_GENOME001115_02428,GUT_GENOME286887_01671	GUT_GENOME154740_01969	GUT_GENOME220495_01341	GUT_GENOME018115_01549	GUT_GENOME139132_00500	GUT_GENOME154740_00159	GUT_GENOME225807_00914	GUT_GENOME155439_02383	GUT_GENOME095967_02215	GUT_GENOME147678_01139	GUT_GENOME001115_02121	GUT_GENOME147678_01125	GUT_GENOME000152_01036	GUT_GENOME139147_00796	GUT_GENOME042029_01030	GUT_GENOME209802_00769	GUT_GENOME147678_01133	GUT_GENOME239280_02403	GUT_GENOME268227_02160	GUT_GENOME139147_00040	GUT_GENOME155439_00488	GUT_GENOME155439_00448	GUT_GENOME154740_01888	GUT_GENOME095967_02197	GUT_GENOME170652_01503	GUT_GENOME140074_00450			GUT_GENOME000152_01689	GUT_GENOME156244_00430	GUT_GENOME123416_00320
GUT_GENOME105698	GUT_GENOME105698_01416,GUT_GENOME158155_00353	GUT_GENOME105698_01337,GUT_GENOME198844_01046,GUT_GENOME105698_02652	GUT_GENOME105698_01021	GUT_GENOME105698_02589	GUT_GENOME105698_02513	GUT_GENOME116934_01059	GUT_GENOME105698_01308	GUT_GENOME237520_00447	GUT_GENOME105698_00003	GUT_GENOME105698_02443	GUT_GENOME105698_00001	GUT_GENOME139388_02008	GUT_GENOME119191_00760	GUT_GENOME237520_00448	GUT_GENOME159708_00314	GUT_GENOME158752_01690	GUT_GENOME124777_00243	GUT_GENOME119191_00752	GUT_GENOME105698_01039	GUT_GENOME237520_00182	GUT_GENOME139388_02534	GUT_GENOME105698_00512	GUT_GENOME158068_00124		GUT_GENOME105698_00017	GUT_GENOME119191_02271	GUT_GENOME159708_02382	GUT_GENOME097137_02415	GUT_GENOME098569_02262	GUT_GENOME141047_00493	GUT_GENOME105698_02106	GUT_GENOME119191_00231
GUT_GENOME108143	GUT_GENOME108143_00422,GUT_GENOME108143_01462	GUT_GENOME108143_00360	GUT_GENOME108143_00404	GUT_GENOME108143_01355	GUT_GENOME108143_01325	GUT_GENOME108143_00507	GUT_GENOME108143_01169	GUT_GENOME108143_00967	GUT_GENOME108143_00562	GUT_GENOME108143_00565	GUT_GENOME108143_00564	GUT_GENOME108143_00540	GUT_GENOME108143_00537	GUT_GENOME108143_00968	GUT_GENOME108143_00965	GUT_GENOME237444_01361	GUT_GENOME180041_01501	GUT_GENOME236879_01213	GUT_GENOME108143_00663	GUT_GENOME108143_01357	GUT_GENOME237444_00661	GUT_GENOME108143_00964	GUT_GENOME108143_00399	GUT_GENOME108143_00559	GUT_GENOME108143_00535	GUT_GENOME108143_00400	GUT_GENOME180041_00624	GUT_GENOME108143_00527	GUT_GENOME108143_00528	GUT_GENOME237444_00309	GUT_GENOME108143_00765	GUT_GENOME108143_00398
